inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
ATLAS,c,57308.640625,0.0,14.586000442504883,0.00800000037997961,5318.0,40.0
ATLAS,c,57317.55859375,0.0,14.53600025177002,0.007000000216066837,5564.0,38.0
ATLAS,c,57317.5703125,0.0,14.5649995803833,0.007000000216066837,5421.0,37.0
ATLAS,c,57317.58203125,0.0,14.5600004196167,0.007000000216066837,5443.0,37.0
ATLAS,o,57321.60546875,0.0,14.003000259399414,0.008999999612569809,9097.0,84.0
ATLAS,o,57321.625,0.0,14.017999649047852,0.007000000216066837,8973.0,66.0
ATLAS,o,57321.62890625,0.0,14.055999755859375,0.008999999612569809,8665.0,78.0
ATLAS,o,57329.60546875,0.0,14.005000114440918,0.008999999612569809,9075.0,83.0
ATLAS,o,57329.6328125,0.0,13.991999626159668,0.00800000037997961,9186.0,78.0
ATLAS,o,57368.47265625,0.0,14.022000312805176,0.006000000052154064,8937.0,51.0
ATLAS,o,57368.50390625,0.0,14.001999855041504,0.006000000052154064,9106.0,51.0
ATLAS,o,57369.49609375,0.0,13.972999572753906,0.006000000052154064,9353.0,52.0
ATLAS,c,57370.4765625,0.0,14.581000328063965,0.007000000216066837,5341.0,38.0
ATLAS,o,57380.45703125,0.0,13.996999740600586,0.00800000037997961,9144.0,78.0
ATLAS,o,57380.47265625,0.0,13.961999893188477,0.00800000037997961,9444.0,78.0
ATLAS,o,57380.48046875,0.0,13.982000350952148,0.007000000216066837,9273.0,65.0
ATLAS,o,57380.5078125,0.0,13.994000434875488,0.007000000216066837,9170.0,62.0
ATLAS,o,57380.51171875,0.0,13.973999977111816,0.008999999612569809,9342.0,83.0
ATLAS,o,57388.43359375,0.0,13.954999923706055,0.004999999888241291,9505.0,49.0
ATLAS,o,57388.44140625,0.0,13.979999542236328,0.006000000052154064,9286.0,53.0
ATLAS,o,57388.4921875,0.0,13.968999862670898,0.00800000037997961,9381.0,76.0
ATLAS,c,57390.47265625,0.0,14.581999778747559,0.010999999940395355,5337.0,61.0
ATLAS,c,57391.4375,0.0,14.49899959564209,0.006000000052154064,5762.0,36.0
ATLAS,c,57391.47265625,0.0,14.491999626159668,0.008999999612569809,5798.0,54.0
ATLAS,c,57392.40625,0.0,14.51200008392334,0.007000000216066837,5690.0,40.0
ATLAS,c,57392.421875,0.0,14.519000053405762,0.007000000216066837,5655.0,39.0
ATLAS,o,57404.47265625,0.0,14.005999565124512,0.006000000052154064,9074.0,57.0
ATLAS,o,57405.421875,0.0,14.04699993133545,0.004999999888241291,8730.0,48.0
ATLAS,o,57405.47265625,0.0,14.03600025177002,0.007000000216066837,8826.0,58.0
ATLAS,o,57406.3984375,0.0,13.989999771118164,0.006000000052154064,9203.0,58.0
ATLAS,o,57406.42578125,0.0,14.003999710083008,0.006000000052154064,9088.0,54.0
ATLAS,o,57406.4296875,0.0,13.968000411987305,0.00800000037997961,9394.0,71.0
ATLAS,o,57406.4296875,0.0,14.041999816894531,0.010999999940395355,8776.0,95.0
ATLAS,o,57406.4375,0.0,14.003999710083008,0.006000000052154064,9086.0,50.0
ATLAS,o,57407.39453125,0.0,13.993000030517578,0.007000000216066837,9179.0,67.0
ATLAS,o,57407.40625,0.0,13.998000144958496,0.006000000052154064,9140.0,55.0
ATLAS,o,57407.421875,0.0,13.994999885559082,0.006000000052154064,9161.0,56.0
ATLAS,o,57407.42578125,0.0,13.989999771118164,0.007000000216066837,9201.0,66.0
ATLAS,o,57407.42578125,0.0,14.067000389099121,0.00800000037997961,8571.0,71.0
