,Name,DR3_source_id,ra,dec,pmRA,pmDec,B,V,R_x,J,H,K,u,g,i,z,ZTF
0,2MASS J17085880-4635492,5962956195185292288,257.2449696,-46.597042,-6.396,2.288,,,,9.523,8.356,7.869,,,,,No
1,2MASS J19074498+2021005,4519475166529738112,286.9374059,20.3501369,2.909,-5.291,,,,10.061,9.161,8.858,,,,,Yes
2,2MASS J19204832+1829439,4515124540765147776,290.2013325,18.4955397,-2.972,-7.765,,,,11.799,,,,,,,Yes
3,2MASS J19285259+1453131,4321276689423536384,292.2191263,14.8869337,-2.61,-3.856,,,,11.798,10.855,10.507,,,,,Yes
4,ATO J117.0976-34.3848,5593826360487373696,117.097648,-34.384848,-2.078,3.698,14.809,13.07,12.488,9.079,8.481,8.126,,13.915,11.448,,No
5,ATO J298.5404+27.3945,2027563492489195520,298.5404387,27.3945449,-3.024,-5.529,,,15.343,12.05,11.535,11.308,,,,,Yes
6,ATO J303.4874+37.5023,2060841448854265216,303.4874415,37.5023436,-3.237,-5.366,,,15.236,11.709,11.069,10.781,,,,,Yes
7,ATO J304.7922+38.2985,2061252975440642816,304.7923198,38.2985786,20.3,13.7,,,,13.343,12.865,12.482,,,,,Yes
8,ATO J312.6099+46.0179,2166378312964576256,312.6098863,46.0179862,-2.816,-3.558,,,15.169,11.423,10.635,10.269,,,13.552,,Yes
9,ATO J339.2651+57.1666,2006912396372680960,339.2651921,57.1666692,-3.859,-3.042,14.221,13.412,13.147,11.341,11.048,10.858,,13.827,12.721,,Yes
10,ATO J341.0511+57.8325,2007318661608788096,341.0511348,57.8325176,-3.805,-3.32,,,15.608,13.135,12.465,12.253,,,,,Yes
11,BD+08  4269,4299904519833646080,298.9081553,8.9622749,-2.375,-7.697,10.03,9.59,,8.971,8.932,8.814,,,,,No
12,BD+29   976,3444168325163139840,86.056136,29.1530532,-0.373,-1.346,11.32,10.93,,8.914,8.653,8.397,,,,,No
13,BD+52  3283,2002117151282819840,341.3074762,53.2093663,-2.211,-2.332,9.92,9.77,,9.426,9.38,9.32,,,,,No
14,CRTS J145247.1-254721,6228685649971375616,223.1953848,-25.789904,-0.652,-7.722,16.07,15.461,15.387,14.017,13.674,13.604,,,,,Yes
15,EM* VES  668,508419369310190976,30.6300081,61.0035543,-0.741,-0.408,12.28,11.57,,9.851,9.61,9.342,,,,,No
16,Gaia DR2 2013187240507011456,2013187240507011456,343.6522277,58.0565564,-2.996,-2.307,,,,,,,,,13.659,,Yes
17,Gaia DR2 2054338249889402880,2054338249889402880,305.1283094,32.567915,-2.391,-4.547,,,,,,,,,12.979,,Yes
18,Gaia DR2 2074693061975359232,2074693061975359232,302.9374141,41.782189,-2.988,-4.748,,,,,,,,,12.654,,Yes
19,Gaia DR2 2164630463117114496,2164630463117114496,319.5385543,47.5317792,-2.45,-2.874,,,,,,,,,12.497,,Yes
20,Gaia DR2 2175699216614191360,2175699216614191360,319.3053117,53.4088432,-2.368,-3.48,,,,,,,,,13.897,,Yes
21,Gaia DR2 428103652673049728,428103652673049728,7.3049798,59.3159282,-1.99,-1.222,,,,,,,,,13.836,,Yes
22,Gaia DR2 527155253604491392,527155253604491392,8.1915906,64.9693618,-2.721,-0.136,,,,,,,,,12.371,,Yes
23,HD 181231,4263591911398361472,289.9265433,-0.0498689,-0.592,-5.426,8.79,8.58,,7.985,7.848,7.786,,,,,No
24,HD 261168,3355776901779440384,99.6749857,13.7070846,0.228,-0.622,10.04,9.96,,9.28,9.143,8.962,,,,,No
