allwise_oid,source_id,ra,dec,l,b,mg0,bprp0,w1mpro,w2mpro,w3mpro,w4mpro,halpha_w,halpha_werror,halpha_d,hbeta_w,hbeta_werror,hbeta_d,best_class_score,best_class_name,dist50,av50,teff50,logg50,met50,mass50,ag50,bp_rp_excess_corr,parallax,parallax_over_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,log_g_err,bp_rp,pmra,pmra_error,pmdec,pmdec_error,grvs_mag,radial_velocity,radial_velocity_error,rv_nb_transits,main_type,other_types
594195128,187219239343050880,78.55005584189996,37.00419514046435,169.64293335449182,-1.0394265501290043,0.092139415,0.7725997,11.029,10.942,10.608,8.686,0.059722,0.434453,0.877014,-1.418167,0.414373,0.847858,0.0,Unclassified,3.0908136,1.7334775,5433.0464,2.3911088,-1.2740041,0.8027245,1.4109324,0.017491937,0.2794892325564301,13.442537,13.953436,49382.41683831511,70.63373,-2.4466202035777345,1.5069828,0.6472578929680777,0.022833949,-3.1149732632422147,0.01772089,NULL,NULL,NULL,NULL,,
693103615,428103652673049728,7.304978365713494,59.31592066010845,120.09562637417568,-3.433418761758839,0.3519658,0.50628215,12.491,12.429,12.02,9.536,1.290896,0.226659,0.970799,-0.316685,0.426474,0.679998,0.51772666,RS,3.379779,1.7761048,6916.768,3.424999,0.1964497,2.342968,1.4975272,0.017405987,0.21927234971512766,13.049197,14.493935,30017.38441561731,35.352757,-2.5310095657663365,1.2834558,-1.9238368892958775,0.015175069,-1.2863412788885527,0.015922945,NULL,NULL,NULL,NULL,Em*,*|Em*
685527970,460686648965862528,44.21889111135485,57.23317929025325,139.2974226288365,-1.5981175172226934,0.70230865,0.50639963,11.947,11.903,11.756,8.696,0.446973,1.113794,0.700493,-1.815172,1.962423,1.009184,0.0,Unclassified,2.337925,4.033817,6797.5093,3.479665,0.0050739613,2.0825508,3.1697292,0.011566162,0.3968885646199546,12.041304,15.71619,9738.020862901049,29.53987,-2.1201221392474503,2.1886082,0.1607063070233179,0.036560383,-0.7713681678439569,0.034389287,NULL,NULL,NULL,NULL,PulsV*delSct,dS*
691079857,461193695624775424,44.83380360849378,58.74492214178172,138.8791185952181,-0.10928292971653378,-3.978905,0.033337936,8.77,8.658,8.204,7.538,0.231809,0.196096,1.035003,-0.579481,0.245277,0.837713,0.7977685,BE|GCAS|SDOR|WR,3.2143195,2.7782812,9885.647,2.4831476,-1.1182139,4.872491,2.4152806,0.009578228,0.303935817713133,12.0735655,10.971821,769517.3751579071,735.2272,-2.6218568865670338,1.291048,0.6061559251652537,0.0220555,-0.9745111676573079,0.029175479,NULL,NULL,NULL,NULL,Star,*|NIR
696328871,473575777103322496,60.92241002054352,60.24676922305758,144.71216011807843,5.7793282493988,-0.98163694,0.7563655,10.386,10.328,9.854,8.651,0.158633,0.193539,0.803713,-0.71358,0.240931,0.828714,0.117849596,RS,3.8776112,0.8965192,5290.3438,2.4268305,-0.668743,2.0234935,0.7457103,0.016537309,0.22317577734504293,19.540783,12.706895,155664.24250367493,123.7149,-2.7018268715774543,1.1414661,0.16767766475677076,0.012655203,-0.039761007767935896,0.0117574455,11.730613,-43.838306,13.338123,28,,
698872712,508419369310190976,30.630019092955134,61.003546147533704,131.44069119047452,-0.688461846438213,-3.6793861,0.09557456,9.299,9.103,8.317,7.59,0.581991,0.203858,1.027509,-0.328082,0.222242,1.26742,0.0,Unclassified,4.364642,2.022628,7954.713,2.3166826,-0.5899574,4.521966,1.7323695,0.025905013,0.2702463070919633,11.275253,11.252727,594095.4652318559,854.3895,-2.4442603004422505,0.9948034,-0.7410163164494948,0.015691163,-0.4075778395402171,0.019204855,10.338555,-30.595268,1.1329478,63,Em*,*|Em*|NIR
707932503,512721444765993472,22.206462475342736,63.849444478580814,127.03771109452376,1.2761430598674526,-4.232504,-4.4218553E-4,9.752,9.625,9.167,8.318,0.434793,0.494842,0.952584,-0.279605,0.211428,0.732062,0.0,Unclassified,5.3801227,2.635469,10526.132,2.6566303,0.001444162,6.856411,2.328871,0.01512754,0.1431284262405728,11.15238,11.750328,375677.6461665846,493.41022,-2.4836672178176435,1.2095013,-1.0136319631000745,0.01041703,-0.41899671855614007,0.013067904,NULL,NULL,NULL,NULL,Star,*|NIR
707495039,526939882463713152,9.276349380015082,63.706991519334466,121.3453748059383,0.8794016347644286,-1.3364766,0.712546,11.081,11.048,10.899,8.625,0.274557,1.080252,1.480642,-0.308603,0.447952,0.796009,0.0,Unclassified,4.3641047,2.1429484,6526.3105,2.7468457,0.20875224,3.6731248,1.7701027,0.020677209,0.20105044940636269,15.368854,13.633102,66329.38207954573,194.0504,-2.1358513941492827,1.6351671,-2.2738870331133203,0.011788343,-0.4789064944157187,0.015300655,NULL,NULL,NULL,NULL,,
711270832,527155253604491392,8.191572106654464,64.96937110845059,120.95729407329783,2.16923262073978,-1.0580431,0.876829,9.448,9.413,9.055,8.314,0.70791,0.411616,0.96923,-0.821116,0.566437,1.113392,0.0,Unclassified,3.066732,2.3684213,4915.614,1.73354,-1.7886491,0.8579485,1.8664776,0.022314906,0.26660839861822333,20.769594,13.241814,95108.89389894617,144.04446,-2.421784568442827,1.8559284,-2.7448396639953554,0.0125896465,-0.13468696610387673,0.014288753,11.830923,-53.819748,12.687075,20,Em*,*|Em*
597057803,1870955515858422656,312.913670723033,37.57014136419038,79.46039111624111,-4.315889545197213,0.6679965,0.9321857,10.457,10.469,10.397,8.785,0.0,0.712892,,0.119318,0.682903,0.76055,0.0,Unclassified,2.1362848,2.3344586,4973.2837,2.4986312,-0.94639254,0.9001591,1.8443221,0.008060694,0.4361963917165857,28.164171,14.160615,40803.8211469289,92.62589,-2.2460284274418627,1.8991652,0.3393762688162447,0.015389582,-0.2947882486588655,0.016560644,12.772772,-43.481426,3.654817,20,,
