GaiaDR3,RAJ2000,DEJ2000,psuperclass,pvarTypes,pPer,pCat,Name,Light curves,Spectrum,X-ray cat,Period,Tier
4519475166529738112,286.93742,20.35016,OMIT,OMIT,,COMP_VAR_VSX_2019,2MASS J19074498+2021005,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2027563492489195520,298.54043,27.39459,OMIT,OMIT,224.601746,ATLAS_VAR_HEINZE_2018,ATO J298.5404+27.3945,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze
4299904519833646080,298.90816,8.96229,OMIT,OMIT,,COMP_VAR_VSX_2019,BD+08  4269,"ASAS-SN, NEOWISE, TESS",FIES-M,-,-,Gold
5962956195185292288,257.24501,-46.59707,OMIT,OMIT,,COMP_VAR_VSX_2019,2MASS J17085880-4635492,"ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
5524022735225482624,130.86484,-43.58376,OMIT,OMIT,,COMP_VAR_VSX_2019,Gaia DR3 5524022735225482624,"ASAS-SN, ATLAS, NEOWISE, TESS",-,-,7.988562d,Silver
460686648965862528,44.2189,57.23321,DSCT,DSCT,0.156691,ZTF_PERIODIC_CHEN_2020,Gaia DR3 460686648965862528,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,3.7606215hr,Silver
2006912396372680960,339.26518,57.16667,OMIT,OMIT,1488.286255,ATLAS_VAR_HEINZE_2018,ATO J339.2651+57.1666,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2061252975440642816,304.79226,38.29856,ECL,EA,2.139009,ZTF_PERIODIC_CHEN_2020,ATO J304.7922+38.2985,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,2.139183d,Silver
527155253604491392,8.19152,64.96938,L,L,,ASASSN_VAR_JAYASINGHE_2019,Gaia DR2 527155253604491392,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",GRVS,-,-,Bronze
5599309216965305728,114.94329,-29.80866,OMIT,OMIT,,COMP_VAR_VSX_2019,TYC 6551-3237-1,"ASAS-SN, NEOWISE, TESS",GRVS,-,-,Bronze
5593826360487373696,117.09763,-34.38482,OMIT,OMIT,,COMP_VAR_VSX_2019,ATO J117.0976-34.3848,"ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2931553674771048704,110.44269,-17.8409,OMIT,OMIT,,COMP_VAR_VSX_2019,TYC 5970-1207-1,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
2006088484204609408,333.7223,55.60142,ECL,EA,5.1916,COMP_VAR_VSX_2019,Gaia DR3 2006088484204609408,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,2.5960645d,Silver
2054338249889402880,305.1283,32.56793,YSO,YSO,,COMP_VAR_VSX_2019,Gaia DR2 2054338249889402880,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2007318661608788096,341.05113,57.83253,SOLAR_LIKE,RS,12.3204231,ZTF_PERIODIC_CHEN_2020,ATO J341.0511+57.8325,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze
2060841448854265216,303.48743,37.50234,ECL,EW,60.7030776,ZTF_PERIODIC_CHEN_2020,ATO J303.4874+37.5023,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,60.545008d,Diamond
6228685649971375616,223.196333,-25.789222,ECL,ECL,1.273911,CATALINA_VAR_DRAKE_2017,CRTS J145247.1-254721,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,1.273980d,Silver
5866474526572151936,211.28222,-60.89929,OMIT,OMIT,,COMP_VAR_VSX_2019,Gaia DR3 5866474526572151936,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
3369399099232812160,97.89888,16.48065,OMIT,OMIT,554.634521,ATLAS_VAR_HEINZE_2018,TYC 1328-1401-1,"ASAS-SN, NEOWISE, TESS",GRVS,-,-,Bronze
187219239343050880,78.55003,37.004189,RAD_VEL_VAR,RAD_VEL_VAR,,LAMOST_RAD_VEL_VAR_TIAN_2020,Gaia DR3 187219239343050880,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",LAMOST-L,-,-,Gold
4263591911398361472,289.926542,-0.049833,CST,CST,,HIP_VAR_ESA_1997,HD 181231,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
2175699216614191360,319.3053,53.40884,OMIT,OMIT,61.822647,ATLAS_VAR_HEINZE_2018,Gaia DR2 2175699216614191360,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,4.769977d,Silver
5882737819707242240,235.76966,-56.529,OMIT,OMIT,,COMP_VAR_VSX_2019,TYC 8704-1822-1,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
2166378312964576256,312.6099,46.01801,ECL,EA,72.5640178,ZTF_PERIODIC_CHEN_2020,ATO J312.6099+46.0179,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,72.427805d,Diamond
6123873398383875456,212.00482,-33.26195,RR,RRC,0.3967395,ASASSN_VAR_JAYASINGHE_2019,TYC 7285-75-1,"ASAS-SN, NEOWISE, TESS","GRVS, HERMES",GALEX,19.0433664hr,Diamond
4096527235637366912,275.4241,-17.62289,GCAS,GCAS,,ASASSN_VAR_JAYASINGHE_2019,TYC 6269-839-1,"ASAS-SN, NEOWISE",-,-,-,Bronze
4271992661242707200,278.41162,-1.19504,LPV,SR,60.732732,ZTF_PERIODIC_CHEN_2020,Gaia DR3 4271992661242707200,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze
5311969857556479616,138.72099,-51.76247,ECL,EB,13.7452954,ASASSN_VAR_JAYASINGHE_2019,Gaia DR3 5311969857556479616,"ASAS-SN, ATLAS, NEOWISE, TESS",-,-,13.7444267d,Silver
4281886474885416064,282.06653,4.09005,LPV,SR,46.3502548,ZTF_PERIODIC_CHEN_2020,Gaia DR3 4281886474885416064,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze
