index,DR3_source_id,ra,dec,ZTF,NUMBER_IN,FILENAME,X_POS,Y_POS,MJD-OBS,OBJECT,FILTER,EXPTIME,S-SEEING,AIRMASS,PC-ZP,PC-ZPSTD,QC-FLAG,TQC-FLAG,FLAGS_MASK,BACKGROUND,MAG_OPT,MAGERR_OPT,SNR_OPT,LIMMAG_OPT,FNU_OPT,FNUERR_OPT,MAG_APER_R0.66xFWHM,MAGERR_APER_R0.66xFWHM,SNR_APER_R0.66xFWHM,FNU_APER_R0.66xFWHM,FNUERR_APER_R0.66xFWHM,MAG_APER_R1.5xFWHM,MAGERR_APER_R1.5xFWHM,SNR_APER_R1.5xFWHM,FNU_APER_R1.5xFWHM,FNUERR_APER_R1.5xFWHM,MAG_APER_R5xFWHM,MAGERR_APER_R5xFWHM,SNR_APER_R5xFWHM,FNU_APER_R5xFWHM,FNUERR_APER_R5xFWHM,MAG_ZOGY,MAGERR_ZOGY,SNR_ZOGY,LIMMAG_ZOGY,FNU_ZOGY,FNUERR_ZOGY,X_POS_REF,Y_POS_REF,FLAGS_MASK_REF,BACKGROUND_REF,MAG_OPT_REF,MAGERR_OPT_REF,SNR_OPT_REF,LIMMAG_OPT_REF,FNU_OPT_REF,FNUERR_OPT_REF,MAG_APER_R0.66xFWHM_REF,MAGERR_APER_R0.66xFWHM_REF,SNR_APER_R0.66xFWHM_REF,FNU_APER_R0.66xFWHM_REF,FNUERR_APER_R0.66xFWHM_REF,MAG_APER_R1.5xFWHM_REF,MAGERR_APER_R1.5xFWHM_REF,SNR_APER_R1.5xFWHM_REF,FNU_APER_R1.5xFWHM_REF,FNUERR_APER_R1.5xFWHM_REF,MAG_APER_R5xFWHM_REF,MAGERR_APER_R5xFWHM_REF,SNR_APER_R5xFWHM_REF,FNU_APER_R5xFWHM_REF,FNUERR_APER_R5xFWHM_REF,MAG_ZOGY_PLUSREF,MAGERR_ZOGY_PLUSREF,SNR_ZOGY_PLUSREF
0,5962956195185292288,257.2449696,-46.597042,No,1,ML1_20190608_214759_red,6398.995892200038,1876.3735650091203,58642.90832677737,02393,q,60.0,3.1850219,1.0461037,23.751177,0.034064706,yellow,yellow,0,5.934725,15.096184,0.0032911377,329.8969,19.874651,3322.971,10.072756,15.597333,0.003911765,277.55658,2094.4329,7.5459676,15.163536,0.0038576482,281.45026,3123.0967,11.096442,15.062113,0.011821497,91.84422,3428.9016,37.333885,17.772312,0.029242001,8.360464,19.751385,282.53674,7.609529,2614.247357320422,6643.5718579104905,0,5.8823657,15.23589,0.0034132553,318.09406,19.94428,2921.7544,9.18519,15.733886,0.004004813,271.10782,1846.9098,6.8124547,15.30681,0.003763079,288.52335,2737.0056,9.486253,15.21679,0.010306792,105.34181,2973.6084,28.228188,15.035669,0.0040415977,268.64035
0,5962956195185292288,257.2449696,-46.597042,No,1,ML1_20190815_183739_red,6264.540898171728,1827.6780157792812,58710.77615560521,02393,q,60.0,2.6864269,1.037229,23.662004,0.030770697,yellow,orange,0,5.0803566,15.898185,0.007204838,150.69543,20.01099,1587.545,10.534792,16.438251,0.0081567895,133.10828,965.3826,7.252612,15.989083,0.0106727425,101.72981,1460.0465,14.352199,15.945201,0.047497023,22.859035,1520.2646,66.50607,16.00765,0.0058609005,-63.77582,19.731411,1435.2906,7.747827,2614.247357320422,6643.5718579104905,0,5.8823657,15.23589,0.0034132553,318.09406,19.94428,2921.7544,9.18519,15.733886,0.004004813,271.10782,1846.9098,6.8124547,15.30681,0.003763079,288.52335,2737.0056,9.486253,15.21679,0.010306792,105.34181,2973.6084,28.228188,14.702019,0.0029944058,362.5882
0,5962956195185292288,257.2449696,-46.597042,No,1,ML1_20200510_014058_red,6531.230882544372,1726.3788425248683,58979.07011941422,02393,q,60.0,2.3755736,1.0616131,23.633694,0.03087021,yellow,orange,0,4.092552,14.925526,0.003753976,289.223,19.6426,3888.5671,13.444875,15.55585,0.0044209287,245.59006,2176.0056,8.860316,15.020569,0.004693156,231.34456,3562.645,15.399735,14.935721,0.0177341,61.223083,3852.2224,62.921078,16.60792,0.012138528,9.86435,19.540901,825.7185,9.23153,2614.247357320422,6643.5718579104905,0,5.8823657,15.23589,0.0034132553,318.09406,19.94428,2921.7544,9.18519,15.733886,0.004004813,271.10782,1846.9098,6.8124547,15.30681,0.003763079,288.52335,2737.0056,9.486253,15.21679,0.010306792,105.34181,2973.6084,28.228188,14.865653,0.0037729796,287.76624
0,5962956195185292288,257.2449696,-46.597042,No,1,ML1_20210716_211114_red,6658.202888874095,1623.066132422975,59411.88280537901,02393,q,60.0,2.8857682,1.0587794,23.676092,0.034173943,yellow,yellow,0,9.292763,14.968316,0.0031444605,345.28537,19.767084,3738.2935,10.826678,15.535389,0.0037866277,286.72903,2217.4019,7.73344,15.044228,0.00353315,307.29974,3485.8496,11.343483,14.9684725,0.010498978,103.413506,3737.7546,36.143776,16.614138,0.010907569,11.633125,19.66321,821.00385,8.248004,2614.247357320422,6643.5718579104905,0,5.8823657,15.23589,0.0034132553,318.09406,19.94428,2921.7544,9.18519,15.733886,0.004004813,271.10782,1846.9098,6.8124547,15.30681,0.003763079,288.52335,2737.0056,9.486253,15.21679,0.010306792,105.34181,2973.6084,28.228188,14.86702,0.0035811388,303.18182
1,4519475166529738112,286.9374059,20.3501369,Yes,2,ML1_20210707_212410_red,1933.6100008049957,6338.814467656103,59402.89178844407,11526,q,60.0,3.0329728,1.8133585,23.71451,0.02783335,yellow,yellow,0,1.5620122,14.329657,0.0022819724,475.78848,19.396841,6731.8984,14.148931,14.906372,0.0028119558,386.11423,3957.7715,10.25026,14.414406,0.0023773797,456.69443,6226.406,13.6336355,14.242401,0.004481042,242.29546,7295.2363,30.108845,19.428314,0.20225346,2.2941933,19.303654,61.471527,11.451059,7228.873542254985,2011.4812850736384,0,1.4719207,14.3302,0.0020938392,518.5385,19.481833,6728.5283,12.975947,14.853192,0.0025740108,421.80716,4156.4556,9.853924,14.392811,0.0021396514,507.436,6351.4927,12.516835,14.170731,0.0030066534,361.11118,7793.0557,21.580765,14.220324,0.0027672881,392.34662
1,4519475166529738112,286.9374059,20.3501369,Yes,2,ML1_20210707_212529_red,1932.7658104199645,6341.589929406133,59402.89270429852,11526,q,60.0,4.3280005,1.8084215,23.72498,0.02784626,yellow,yellow,0,1.2028862,14.330907,0.0022899383,474.1334,19.49838,6724.1484,14.181976,14.705713,0.0025865682,419.75934,4761.1816,11.342646,14.377394,0.0024813327,437.5617,6442.3286,14.723246,14.158843,0.005545918,195.77213,7878.85,40.245007,19.657715,0.2406856,1.793255,19.34419,49.763824,11.031627,7228.873542254985,2011.4812850736384,0,1.4719207,14.3302,0.0020938392,518.5385,19.481833,6728.5283,12.975947,14.853192,0.0025740108,421.80716,4156.4556,9.853924,14.392811,0.0021396514,507.436,6351.4927,12.516835,14.170731,0.0030066534,361.11118,7793.0557,21.580765,14.2221985,0.0027280787,397.98563
1,4519475166529738112,286.9374059,20.3501369,Yes,2,ML1_20210707_212650_red,1862.9614958428915,6322.418559925545,59402.89363981172,11526,q,60.0,3.227637,1.8040382,23.723465,0.030435229,yellow,yellow,0,1.3412036,14.338629,0.0022755084,477.14008,19.42954,6676.496,13.992738,14.878354,0.0027729862,391.5404,4061.2363,10.372458,14.407125,0.002394321,453.46307,6268.2983,13.8231735,14.208823,0.004698939,231.05984,7524.3774,32.564625,21.278305,1.0994062,-0.21836558,19.31547,11.186089,11.326928,7228.873542254985,2011.4812850736384,0,1.4719207,14.3302,0.0020938392,518.5385,19.481833,6728.5283,12.975947,14.853192,0.0025740108,421.80716,4156.4556,9.853924,14.392811,0.0021396514,507.436,6351.4927,12.516835,14.170731,0.0030066534,361.11118,7793.0557,21.580765,14.228395,0.0027747438,391.2924
3,4321276689423536384,292.2191263,14.8869337,Yes,4,ML1_20210619_224839_red,7304.71363735826,9804.724198205016,59384.95046139209,10656,q,60.0,7.100606,1.6078979,23.657726,0.023894291,red,red,0,5.9286356,15.947812,0.00813108,133.52914,19.961233,1516.6146,11.357929,16.143276,0.011366273,95.52262,1266.7465,13.26122,15.956719,0.02120363,51.205204,1504.222,29.37635,13.856207,0.015221904,71.327225,10411.594,145.96942,21.98569,1.3623558,0.90716904,19.793953,5.830751,7.3162875,10843.792215928901,7449.314424579589,0,2.672854,15.929271,0.005881107,184.61426,20.183628,1542.7361,8.356538,16.527916,0.006793555,159.81857,888.86053,5.561685,16.010218,0.007087178,153.19725,1431.9004,9.346776,15.793239,0.02300063,47.204628,1748.6561,37.044167,15.825174,0.0077871964,139.42581
3,4321276689423536384,292.2191263,14.8869337,Yes,4,ML1_20210619_224959_red,7303.634602574247,9813.160793197134,59384.95138549372,10656,q,60.0,2.969313,1.603356,23.635893,0.02050616,yellow,yellow,0,2.9640539,15.931105,0.0068630027,158.20134,20.039001,1540.1332,9.735272,16.517231,0.008144195,133.31412,897.6504,6.7333484,16.01054,0.009668087,112.30103,1431.4749,12.746765,15.813848,0.03594814,30.202847,1715.7781,56.808487,20.98427,0.49808773,0.83373713,19.885014,14.665346,6.7278123,10843.792215928901,7449.314424579589,0,2.672854,15.929271,0.005881107,184.61426,20.183628,1542.7361,8.356538,16.527916,0.006793555,159.81857,888.86053,5.561685,16.010218,0.007087178,153.19725,1431.9004,9.346776,15.793239,0.02300063,47.204628,1748.6561,37.044167,15.818997,0.0074791503,145.16838
3,4321276689423536384,292.2191263,14.8869337,Yes,4,ML1_20210619_225120_red,7234.7633156692,9779.90611361773,59384.95232551566,10656,q,60.0,2.9008286,1.5991601,23.632397,0.020723071,yellow,yellow,0,3.974113,15.9469185,0.0069223177,156.84576,20.019522,1517.8636,9.677428,16.557898,0.008314829,130.57828,864.65076,6.621704,16.037767,0.009780919,111.00553,1396.0231,12.576159,15.862025,0.037107885,29.258907,1641.3065,56.09596,21.901861,1.167293,-0.27556795,19.877903,6.298769,6.7719107,10843.792215928901,7449.314424579589,0,2.672854,15.929271,0.005881107,184.61426,20.183628,1542.7361,8.356538,16.527916,0.006793555,159.81857,888.86053,5.561685,16.010218,0.007087178,153.19725,1431.9004,9.346776,15.793239,0.02300063,47.204628,1748.6561,37.044167,15.824846,0.0075389687,144.01654
