,name,Designation,Crowded
0,5962956195185292288,Gaia DR3 5962956195185292288,Yes
1,4519475166529738112,Gaia DR3 4519475166529738112,Yes
2,4515124540765147776,Gaia DR3 4515124540765147776,Yes
3,4321276689423536384,Gaia DR3 4321276689423536384,Yes
4,5593826360487373696,Gaia DR3 5593826360487373696,Yes
5,2027563492489195520,Gaia DR3 2027563492489195520,Yes
6,2060841448854265216,Gaia DR3 2060841448854265216,Yes
7,2061252975440642816,Gaia DR3 2061252975440642816,Yes
8,2166378312964576256,Gaia DR3 2166378312964576256,No
9,2006912396372680960,Gaia DR3 2006912396372680960,Yes
10,2007318661608788096,Gaia DR3 2007318661608788096,No
11,4299904519833646080,Gaia DR3 4299904519833646080,Yes
12,3444168325163139840,Gaia DR3 3444168325163139840,Yes
13,2002117151282819840,Gaia DR3 2002117151282819840,Yes
14,6228685649971375616,Gaia DR3 6228685649971375616,No
15,508419369310190976,Gaia DR3 508419369310190976,Yes
16,2013187240507011456,Gaia DR3 2013187240507011456,No
17,2054338249889402880,Gaia DR3 2054338249889402880,Yes
18,2074693061975359232,Gaia DR3 2074693061975359232,Yes
19,2164630463117114496,Gaia DR3 2164630463117114496,Yes
20,2175699216614191360,Gaia DR3 2175699216614191360,Yes
21,428103652673049728,Gaia DR3 428103652673049728,No
22,527155253604491392,Gaia DR3 527155253604491392,No
23,4263591911398361472,Gaia DR3 4263591911398361472,Yes
24,3355776901779440384,Gaia DR3 3355776901779440384,No
25,5350869719969619840,Gaia DR3 5350869719969619840,Yes
26,4054010697162430592,Gaia DR3 4054010697162430592,Yes
27,4094491141885400576,Gaia DR3 4094491141885400576,Yes
28,461193695624775424,Gaia DR3 461193695624775424,Yes
29,512721444765993472,Gaia DR3 512721444765993472,Yes
30,3369399099232812160,Gaia DR3 3369399099232812160,No
31,2931553674771048704,Gaia DR3 2931553674771048704,Yes
32,4096527235637366912,Gaia DR3 4096527235637366912,Yes
33,5599309216965305728,Gaia DR3 5599309216965305728,No
34,6123873398383875456,Gaia DR3 6123873398383875456,No
35,5882737819707242240,Gaia DR3 5882737819707242240,Yes
36,2934216142176785920,Gaia DR3 2934216142176785920,Yes
37,2200433413577635840,Gaia DR3 2200433413577635840,No
38,4076568861833452160,Gaia DR3 4076568861833452160,Yes
39,5866474526572151936,Gaia DR3 5866474526572151936,No
40,473575777103322496,Gaia DR3 473575777103322496,Yes
41,2030965725082217088,Gaia DR3 2030965725082217088,Yes
42,2163542397602876800,Gaia DR3 2163542397602876800,Yes
43,526939882463713152,Gaia DR3 526939882463713152,No
44,2173852964799716480,Gaia DR3 2173852964799716480,No
45,5524022735225482624,Gaia DR3 5524022735225482624,No
46,2169083008475385856,Gaia DR3 2169083008475385856,Yes
47,2206767944881247744,Gaia DR3 2206767944881247744,Yes
48,187219239343050880,Gaia DR3 187219239343050880,No
49,5617186348318629248,Gaia DR3 5617186348318629248,No
50,6053890788968694656,Gaia DR3 6053890788968694656,Yes
51,5880159842877908352,Gaia DR3 5880159842877908352,Yes
52,5965503866703572480,Gaia DR3 5965503866703572480,Yes
53,1870955515858422656,Gaia DR3 1870955515858422656,Yes
54,2006088484204609408,Gaia DR3 2006088484204609408,No
55,5311969857556479616,Gaia DR3 5311969857556479616,Yes
56,5338183383022960512,Gaia DR3 5338183383022960512,Yes
57,5866345647515558400,Gaia DR3 5866345647515558400,Yes
58,4281886474885416064,Gaia DR3 4281886474885416064,No
59,4272588356022299520,Gaia DR3 4272588356022299520,Yes
60,4271992661242707200,Gaia DR3 4271992661242707200,No
61,4260141158544875008,Gaia DR3 4260141158544875008,Yes
62,2083649030845658624,Gaia DR3 2083649030845658624,Yes
63,5868425648663616768,Gaia DR3 5868425648663616768,Yes
64,460686648965862528,Gaia DR3 460686648965862528,No
65,5323384162646755712,Gaia DR3 5323384162646755712,No
66,5328449200388495616,Gaia DR3 5328449200388495616,Yes
67,6052463412400724992,Gaia DR3 6052463412400724992,Yes
68,5966574133883852416,Gaia DR3 5966574133883852416,Yes
69,5326288831829996416,Gaia DR3 5326288831829996416,No
