Gaia source ID_1,Light curves_1,Spectrum_1,X-ray cat_1,Period(me),Tier_1,Per(lamost),Type,psuperclass,pvarTypes,pPer(gaia-xmatch),pCat,My class,Gaia Var. Class,Simbad Class,period(ztf),sin_dnn,rscvn_dnn,emsms_dnn,ea_dnn,rrlyr_dnn,el_dnn,saw_dnn,bogus_dnn,wuma_dnn,e_dnn,yso_dnn,ceph_dnn,cv_dnn,srv_dnn,fla_dnn,blyr_dnn,wp_dnn,eb_dnn,blher_dnn,hp_dnn,ext_dnn,dip_dnn,rrab_dnn,vnv_dnn,pnp_dnn,wvir_dnn,dp_dnn,bright_dnn,ceph2_dnn,dscu_dnn,bis_dnn,osarg_dnn,rrblz_dnn,i_dnn,puls_dnn,mp_dnn,rrc_dnn,mir_dnn,agn_dnn,longt_dnn,blend_dnn,ew_dnn,lpv_dnn,rrd_dnn,rrd_xgb,wvir_xgb,dp_xgb,blher_xgb,lpv_xgb,agn_xgb,dscu_xgb,puls_xgb,rrc_xgb,mir_xgb,e_xgb,rscvn_xgb,rrlyr_xgb,bis_xgb,emsms_xgb,mp_xgb,ew_xgb,bogus_xgb,ea_xgb,vnv_xgb,pnp_xgb,longt_xgb,dip_xgb,cv_xgb,blend_xgb,ext_xgb,wuma_xgb,srv_xgb,fla_xgb,bright_xgb,el_xgb,ceph_xgb,eb_xgb,wp_xgb,hp_xgb,i_xgb,blyr_xgb,yso_xgb,saw_xgb,ceph2_xgb,rrab_xgb,sin_xgb,osarg_xgb,rrblz_xgb
187219239343050880,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",LAMOST-L,-,-,Gold,6.02047,ROT,RAD_VEL_VAR,RAD_VEL_VAR,,LAMOST_RAD_VEL_VAR_TIAN_2020,Puls,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428103652673049728,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze,,,,,,,-,RS,Em* (*|Em*),0.7484233860366047,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.09,0.06,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
428103652673049728,,,,,,,,,,,,,,,3.9904424309164344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.03,0.02,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
460686648965862528,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,3.7606215hr,Silver,,,DSCT,DSCT,0.156691,ZTF_PERIODIC_CHEN_2020,DeltaScuti,Unclassified,PulsV*delSct (dS*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461193695624775424,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,BE|GCAS|SDOR|WR,Star (*|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473575777103322496,"ASAS-SN, NEOWISE, TESS",GRVS,GALEX,-,Silver,,,,,,,-,RS,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508419369310190976,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,,,,,Dip?,Unclassified,Em* (*|Em*|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512721444765993472,"ZTF, ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,Unclassified,Star (*|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526939882463713152,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze,,,,,,,Outb,Unclassified,-,1.4983759521300357,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.03,0.0,0.19,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.23,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.04,0.25,0.01,0.06,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.08,0.0,0.0,0.0,0.69,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.99,0.43,0.03,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.01,0.0,0.78,0.0,0.23,0.0,0.04,0.0,0.0,0.01,0.24,0.0,0.0,0.0,0.33
526939882463713152,,,,,,,,,,,,,,,4.002296521913883,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.03,0.0,0.41,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.44,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.44,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.08,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.02,0.99,0.66,0.1,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.67,0.0,0.23,0.0,0.04,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.33
