Gaia source ID,Crowded,Light curves,Spectrum,X-ray cat,Period,Tier
187219239343050880,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",LAMOST-L,-,-,Gold
428103652673049728,No,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze
460686648965862528,No,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,3.7606215hr,Silver
461193695624775424,Yes,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
473575777103322496,Yes,"ASAS-SN, NEOWISE, TESS",GRVS,GALEX,-,Silver
508419369310190976,Yes,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
512721444765993472,Yes,"ZTF, ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
526939882463713152,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
527155253604491392,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",GRVS,-,-,Bronze
1870955515858422656,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,46.211840d,Diamond
2002117151282819840,Yes,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
2006088484204609408,No,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,2.5960645d,Silver
2006912396372680960,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2007318661608788096,No,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze
2013187240507011456,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,-,Gold
2027563492489195520,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze
2030965725082217088,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,-,Gold
2054338249889402880,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2060841448854265216,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,60.545008d,Diamond
2061252975440642816,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,2.139183d,Silver
2074693061975359232,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,-,Gold
2083649030845658624,Yes,"ZTF, ATLAS, NEOWISE",-,4XMM-DR13,-,Silver
2163542397602876800,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2164630463117114496,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS","CAFOS, GRVS",-,-,Gold
2166378312964576256,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,72.427805d,Diamond
2169083008475385856,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2173852964799716480,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze
2175699216614191360,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,4.769977d,Silver
2200433413577635840,No,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS","CAFOS, LAMOST-M, FIES-M",-,-,Gold
2206767944881247744,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,9.250254hr,Diamond
2931553674771048704,Yes,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
2934216142176785920,Yes,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
3355776901779440384,No,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
3369399099232812160,No,"ASAS-SN, NEOWISE, TESS",GRVS,-,-,Bronze
3444168325163139840,Yes,"ASAS-SN, NEOWISE, TESS",LAMOST-M,-,-,Silver
4054010697162430592,Yes,"ASAS-SN, NEOWISE, TESS",-,Swift(LSPXS),-,Silver
4076568861833452160,Yes,"ZTF, ASAS-SN, NEOWISE",FIES-M,-,56.90033d,Diamond
4094491141885400576,Yes,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze
4096527235637366912,Yes,"ASAS-SN, NEOWISE",-,-,-,Bronze
4260141158544875008,Yes,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze
4263591911398361472,Yes,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze
4271992661242707200,No,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze
4272588356022299520,Yes,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze
4281886474885416064,No,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze
